City,Lat,Lng,Max Temp,Humidity,Clouds,Wind Speed,Country,Date
Goderich,43.7501,-81.7165,57.2,24,0,9.22,CA,1616358345
Butaritari,3.0707,172.7902,82.47,78,100,17.72,KI,1616357946
Nikolskoye,59.7035,30.7861,33.01,86,90,22.37,RU,1616357946
Waiuku,-37.25,174.75,63.0,77,75,2.3,NZ,1616358346
Prainha,-1.8,-53.48,84.45,66,45,2.24,BR,1616358346
Qaanaaq,77.484,-69.3632,-7.47,96,100,3.04,GL,1616357988
Iqaluit,63.7506,-68.5145,-5.01,71,75,3.44,CA,1616358050
Bull Savanna,17.8868,-77.5902,78.4,70,41,10.11,JM,1616358347
Slavuta,50.3016,26.8651,31.1,68,30,8.57,UA,1616358348
Oktyabr'skiy,54.4815,53.471,14.41,95,54,5.64,RU,1616358348
Goya,-29.14,-59.2626,80.67,47,0,7.34,AR,1616358052
Cherskiy,68.75,161.3,-15.43,70,0,5.77,RU,1616358110
Sayyan,15.1718,44.3244,57.45,17,15,8.86,YE,1616358349
Whitehorse,60.7161,-135.0538,17.01,79,90,5.75,CA,1616358027
New Norfolk,-42.7826,147.0587,57.0,76,31,1.7,AU,1616358010
Cockburn Town,21.4612,-71.1419,80.6,65,40,11.5,TC,1616357847
Bǝrdǝ,40.3744,47.1267,50.56,70,96,3.98,AZ,1616358350
Vardø,70.3705,31.1107,24.8,93,20,21.85,NO,1616358042
Fortuna,40.5982,-124.1573,53.01,71,90,13.8,US,1616357767
Esperance,-33.8667,121.9,64.4,72,0,17.27,AU,1616357913
Bryan,30.6744,-96.37,72.0,45,1,9.22,US,1616358351
Port Augusta,-32.5,137.7667,66.2,88,100,5.75,AU,1616358351
Kieta,-6.2167,155.6333,79.36,84,86,1.34,PG,1616358011
Arrondissement de Bastia,42.6667,9.3333,50.0,37,90,14.97,FR,1616358352
Bredasdorp,-34.5322,20.0403,62.6,72,0,5.75,ZA,1616358044
Vaini,-21.2,-175.2,80.6,83,75,4.61,TO,1616357951
Clyde River,70.4692,-68.5914,-13.0,70,1,12.66,CA,1616358039
Atotonilquillo,20.4,-103.1333,86.0,7,1,12.66,MX,1616358353
Jalu,29.0331,21.5482,69.84,32,31,11.05,LY,1616358353
Ponta do Sol,32.6667,-17.1,60.8,51,40,11.5,PT,1616357989
Taoudenni,22.6783,-3.9836,74.62,14,0,12.46,ML,1616358075
Ures,29.4333,-110.4,82.0,24,99,5.01,MX,1616358354
Benghazi,32.1167,20.0667,63.14,80,0,14.25,LY,1616358354
Umluj,25.0213,37.2685,85.05,29,0,9.44,SA,1616358355
Comodoro Rivadavia,-45.8667,-67.5,80.6,28,0,9.22,AR,1616358355
Avera,33.194,-82.5271,62.6,63,75,9.22,US,1616358355
Severo-Kuril'sk,50.6789,156.125,27.88,83,100,24.32,RU,1616358070
Torbay,47.6666,-52.7314,35.01,64,20,16.11,CA,1616358007
Hobyo,5.3505,48.5268,79.41,79,87,15.01,SO,1616358356
Chanika,-5.4167,38.0167,69.3,96,3,4.23,TZ,1616358357
Tuktoyaktuk,69.4541,-133.0374,-14.8,84,20,9.22,CA,1616357999
Gaoua,10.2992,-3.2508,82.04,56,95,9.64,BF,1616358357
Toamasina,-18.1667,49.3833,77.0,2,75,6.91,MG,1616358358
Mahajanga,-15.7167,46.3167,75.2,88,20,3.44,MG,1616358358
Leningradskiy,69.3833,178.4167,-10.79,96,100,9.73,RU,1616358039
Tilichiki,60.4667,166.1,-12.98,88,0,4.36,RU,1616358359
Guarapari,-20.6667,-40.4975,84.99,74,40,6.91,BR,1616358250
Solnechnyy,50.7214,136.6319,21.2,92,100,8.55,RU,1616358359
Stephenville,32.2207,-98.2023,69.8,40,1,17.27,US,1616358360
East London,-33.0153,27.9116,66.25,67,48,13.56,ZA,1616358033
Leshan,29.5623,103.7639,49.03,78,100,2.37,CN,1616358360
Béziers,43.3476,3.219,53.6,40,0,19.57,FR,1616358361
Kirakira,-10.4544,161.9205,78.6,86,98,4.61,SB,1616358074
Grand Gaube,-20.0064,57.6608,80.01,82,1,5.01,MU,1616358361
Setermoen,68.861,18.3486,19.4,93,75,3.2,NO,1616358362
Hermanus,-34.4187,19.2345,63.0,80,3,4.0,ZA,1616357957
Akaltara,22.0167,82.4333,74.57,30,0,2.19,IN,1616358362
Puerto del Rosario,28.5004,-13.8627,64.4,63,20,21.85,ES,1616358074
Oranjestad,12.524,-70.027,84.2,65,40,20.71,AW,1616358363
Moose Factory,51.2585,-80.6094,59.0,26,1,23.02,CA,1616358363
Sahuaripa,29.05,-109.2333,89.31,14,82,17.11,MX,1616358029
Chui,-33.6971,-53.4616,70.25,77,73,13.11,UY,1616357948
Buenos Aires,-34.6132,-58.3772,75.0,68,40,11.5,AR,1616358086
Bengkulu,-3.8004,102.2655,74.95,92,100,5.53,ID,1616357994
Cape Town,-33.9258,18.4232,68.0,63,0,17.27,ZA,1616357700
Terrace,54.5163,-128.6035,35.6,93,90,13.8,CA,1616358365
Kahului,20.8947,-156.47,73.4,83,40,14.97,US,1616357765
Pemangkat,1.1667,108.9667,77.02,89,100,4.65,ID,1616358081
Mabaruma,8.2,-59.7833,82.96,59,14,7.2,GY,1616358365
Lunenburg,44.3835,-64.3155,55.0,70,0,11.5,CA,1616358366
Alekseyevka,50.6309,38.6903,31.17,74,51,8.99,RU,1616358072
Verkhoyansk,67.5447,133.385,-1.43,94,100,2.95,RU,1616358366
Hilo,19.7297,-155.09,73.4,64,90,14.97,US,1616357956
Hasaki,35.7333,140.8333,53.6,94,75,8.05,JP,1616358018
Aksu,41.1231,80.2644,41.65,37,100,2.73,CN,1616358367
Bandarbeyla,9.4942,50.8122,77.79,69,0,7.83,SO,1616358068
Sitka,57.0531,-135.33,39.2,87,90,6.91,US,1616357992
Buala,-8.145,159.5921,79.54,84,81,5.88,SB,1616358368
Bom Jesus do Itabapoana,-21.1339,-41.6797,80.94,82,8,3.62,BR,1616358369
Vestmanna,62.1564,-7.1664,44.6,100,75,12.66,FO,1616358369
Pevek,69.7008,170.3133,-27.0,91,0,5.08,RU,1616358052
Codrington,-38.2667,141.9667,64.8,82,95,12.24,AU,1616358035
Sibolga,1.7427,98.7792,76.06,89,97,3.02,ID,1616357845
Yasnyy,51.0333,59.8742,14.02,95,100,10.13,RU,1616358370
Khatanga,71.9667,102.5,-24.47,78,0,7.38,RU,1616357992
Vila Franca do Campo,37.7167,-25.4333,57.2,82,75,6.91,PT,1616358072
Vallenar,-28.5708,-70.7581,83.73,22,0,9.69,CL,1616358371
Harper,4.375,-7.7169,79.93,86,54,9.57,LR,1616358371
Nouadhibou,20.931,-17.0347,66.2,72,0,14.97,MR,1616358372
Kālāgarh Project Colony,29.5,78.75,70.66,26,0,5.12,IN,1616358372
Padang,-0.9492,100.3543,73.4,100,40,2.3,ID,1616358373
Lebu,-37.6167,-73.65,62.67,66,0,10.4,CL,1616357998
Talnakh,69.4865,88.3972,-15.21,56,66,6.22,RU,1616358034
Thompson,55.7435,-97.8558,37.4,65,75,27.63,CA,1616358049
Ilulissat,69.2167,-51.1,10.4,92,75,26.46,GL,1616358095
Bambous Virieux,-20.3428,57.7575,80.01,89,75,9.22,MU,1616358028
Diffa,13.3154,12.6113,86.86,9,0,5.53,NE,1616358374
Tiksi,71.6872,128.8694,-16.15,98,100,11.34,RU,1616358014
Ilebo,-4.3167,20.5833,74.19,88,100,2.55,CD,1616358375
Coahuayana Viejo,18.7333,-103.6833,84.2,39,1,11.5,MX,1616358033
Ubari,26.5921,12.7805,67.03,8,0,5.84,LY,1616358375
Jiangyou,31.7667,104.7167,46.08,67,74,0.29,CN,1616358376
El Alto,-4.2714,-81.2147,86.0,58,0,12.66,PE,1616358376
Tam Ky,15.5667,108.4833,77.0,83,40,5.75,VN,1616358376
Faanui,-16.4833,-151.75,83.59,71,1,10.07,PF,1616358377
Klaksvík,62.2266,-6.589,44.6,100,90,12.66,FO,1616357999
Port Elizabeth,-33.918,25.5701,64.4,77,75,5.75,ZA,1616358022
Natal'insk,56.4739,57.8698,11.5,94,13,5.84,RU,1616358378
Patacamaya,-17.2333,-67.9167,56.25,52,44,10.94,BO,1616358378
Yulara,-25.2406,130.9889,64.4,100,90,8.05,AU,1616357952
Pemberton,50.3164,-122.8027,35.6,87,90,5.75,CA,1616358379
Jamestown,42.097,-79.2353,60.8,12,1,6.73,US,1616357892
George Town,5.4112,100.3354,82.4,78,20,3.44,MY,1616358012
São Filipe,14.8961,-24.4956,71.15,71,99,8.93,CV,1616357996
Mitchell,43.7094,-98.0298,53.6,47,75,24.16,US,1616358322
Parabel',58.6978,81.4825,20.48,90,31,9.28,RU,1616357997
Ancud,-41.8697,-73.8203,66.2,52,0,9.22,CL,1616358012
Bollnäs,61.3482,16.3946,35.01,53,100,5.99,SE,1616358380
Eyl,7.9803,49.8164,75.96,77,11,12.12,SO,1616358098
Bagenalstown,52.7003,-6.9618,50.0,78,12,0.56,IE,1616358381
Georgiyevskoye,58.731,45.024,25.45,95,100,10.07,RU,1616358381
Narsaq,60.9167,-46.05,24.8,68,75,13.8,GL,1616358079
Banda Aceh,5.5577,95.3222,79.99,74,100,2.91,ID,1616358110
Hare Bay,48.8499,-54.0148,33.8,60,97,10.36,CA,1616358382
Lüderitz,-26.6481,15.1594,69.01,61,0,16.06,NA,1616357986
Itarema,-2.9248,-39.9167,81.28,73,100,12.95,BR,1616358057
Nuevo Comalapa,15.65,-92.1333,90.14,36,8,3.44,MX,1616358383
Usogorsk,63.4106,48.6872,22.39,94,100,8.84,RU,1616358383
Raton,36.9034,-104.4391,66.2,7,1,16.11,US,1616358384
Mar del Plata,-38.0023,-57.5575,64.4,63,40,12.66,AR,1616357700
Umm Kaddadah,13.6017,26.6876,87.53,14,100,10.96,SD,1616358384
Mercedes,-34.6515,-59.4307,75.99,61,0,1.01,AR,1616358385
Arrondissement de Saint-Denis,48.9167,2.3333,46.0,65,90,8.05,FR,1616358386
Mananjary,-21.2167,48.3333,76.21,89,90,2.17,MG,1616358386
Geraldton,-28.7667,114.6,68.0,94,0,5.75,AU,1616358387
Grand Forks,47.9417,-97.4337,46.4,100,90,3.44,US,1616358387
Røros,62.5747,11.3842,28.4,80,90,5.75,NO,1616358387
Ribas do Rio Pardo,-20.4431,-53.7592,84.79,64,99,4.94,BR,1616358388
Porosozero,62.7191,32.727,25.14,94,99,13.91,RU,1616358388
San Patricio,28.017,-97.5169,78.8,46,20,18.41,US,1616358112
Pisco,-13.7,-76.2167,80.6,50,0,19.57,PE,1616358046
Biak,-0.9131,122.8766,76.91,81,34,0.65,ID,1616358021
Hamilton,39.1834,-84.5333,66.99,15,1,4.61,US,1616358389
Bograd,54.2344,90.8328,39.2,60,0,11.18,RU,1616358390
Wu’an,31.6836,112.0044,45.43,45,100,2.19,CN,1616358390
Constitución,-35.3333,-72.4167,65.16,66,2,7.31,CL,1616358056
Buraidah,26.326,43.975,73.4,38,0,2.3,SA,1616358391
Digby,44.6169,-65.7655,59.0,26,0,5.75,CA,1616358392
Provideniya,64.3833,-173.3,5.0,78,75,4.47,RU,1616357945
Krasnaya Gorbatka,55.8703,41.7641,26.6,91,100,10.45,RU,1616358392
Portland,45.5234,-122.6762,50.0,57,75,12.66,US,1616357724
Singkang,2.1006,102.7994,80.6,83,20,3.44,MY,1616358393
Kisi,9.0833,3.85,88.14,37,20,5.97,NG,1616358393
Donskoye,45.4552,41.9741,32.0,80,40,4.47,RU,1616358394
Oranjemund,-28.55,16.4333,63.84,80,0,8.25,NA,1616358078
Pesochnoye,58.006,39.1772,28.31,93,100,11.27,RU,1616358394
Arlit,18.7369,7.3853,89.08,12,80,7.78,NE,1616358394
Ialibu,-6.2821,143.9935,55.26,93,91,2.51,PG,1616357948
Yurginskoye,56.8189,67.3921,19.53,93,96,5.75,RU,1616358395
La Ronge,55.1001,-105.2842,23.0,50,89,13.8,CA,1616358025
Souillac,-20.5167,57.5167,78.8,89,75,9.22,MU,1616358015
Itoman,26.1247,127.6694,62.6,59,75,24.16,JP,1616358396
Airai,-8.9266,125.4092,60.71,87,86,1.25,TL,1616358015
Eastbourne,50.7687,0.2845,45.0,73,100,8.48,GB,1616358331
Port Macquarie,-31.4333,152.9167,66.0,99,100,16.04,AU,1616357955
Rjukan,59.8789,8.5941,35.01,65,100,1.01,NO,1616358397
Belyy Yar,53.6039,91.3903,39.2,60,0,11.18,RU,1616358077
Aripuanã,-9.1667,-60.6333,79.7,78,89,2.24,BR,1616358049
Ulladulla,-35.35,150.4667,66.2,100,75,9.22,AU,1616358397
Saint George,37.1041,-113.5841,61.0,33,1,5.75,US,1616357953
Taksimo,56.3444,114.8794,12.47,86,76,0.09,RU,1616358398
Fairbanks,64.8378,-147.7164,10.99,47,1,3.0,US,1616357810
Danané,7.2596,-8.155,70.47,94,100,4.85,CI,1616358399
Hong Kong,22.2855,114.1577,62.01,67,88,3.0,HK,1616358061
Osa,57.2829,55.4567,15.15,93,65,7.52,RU,1616358400
Ikongo,-21.8833,47.4333,69.98,98,71,1.81,MG,1616358400
Canavieiras,-15.675,-38.9472,82.4,74,75,3.44,BR,1616358400
Ahwa,20.75,73.6833,72.01,16,0,1.95,IN,1616358401
Yabēlo,4.8833,38.0833,62.89,72,0,13.18,ET,1616358401
Kavieng,-2.5744,150.7967,82.96,74,99,5.88,PG,1616358040
Doumé,4.2333,13.45,71.01,93,97,3.18,CM,1616358402
Teya,60.3778,92.6267,28.51,91,100,9.71,RU,1616358402
Atar,20.5169,-13.0499,75.27,15,74,8.93,MR,1616358079
Puerto Quijarro,-17.7833,-57.7667,86.22,75,99,3.18,BO,1616358403
Manitouwadge,49.1215,-85.8403,48.2,43,40,19.57,CA,1616358403
Barrow,71.2906,-156.7887,-11.2,70,1,11.5,US,1616357744
Inhambane,-23.865,35.3833,76.28,86,0,7.07,MZ,1616358404
Kolondiéba,11.0882,-6.8926,80.19,58,15,4.16,ML,1616358404
Takoradze,4.8845,-1.7554,81.07,83,0,11.79,GH,1616358405
Sept-Îles,50.2001,-66.3821,42.8,49,75,9.22,CA,1616358038
Jardim,-21.4803,-56.1381,85.23,72,81,3.58,BR,1616358405
Tai’an,36.1853,117.12,46.99,32,0,3.71,CN,1616358405
Berlevåg,70.8578,29.0864,30.2,59,40,27.63,NO,1616358043
Dongargaon,20.9667,80.85,78.66,30,0,3.02,IN,1616358406
Jacareacanga,-6.2222,-57.7528,84.04,75,94,1.72,BR,1616358406
Niesky,51.2924,14.8211,35.01,82,0,3.0,DE,1616358407
Lyubech,51.7026,30.6569,31.06,60,95,7.85,UA,1616358407
Nizwá,22.9333,57.5333,67.17,19,0,5.59,OM,1616358408
Manicoré,-5.8092,-61.3003,82.4,78,0,4.61,BR,1616358408
Ostrovnoy,68.0531,39.5131,21.22,92,100,4.41,RU,1616358023
Upernavik,72.7868,-56.1549,-8.77,91,100,3.44,GL,1616358005
Zainsk,55.3195,52.0694,19.4,73,0,8.95,RU,1616358409
Mackay,-21.15,149.2,77.0,88,40,5.75,AU,1616357995
Sal Rei,16.1833,-22.9167,69.8,73,75,16.11,CV,1616358410
Salalah,17.0151,54.0924,78.8,89,0,1.14,OM,1616357773
Puerto Escondido,15.85,-97.0667,86.0,70,1,5.75,MX,1616358182
Nome,64.5011,-165.4064,17.6,57,90,0.87,US,1616358108
Husavik,66.0449,-17.3389,46.4,57,40,19.57,IS,1616358031
Sechura,-5.5569,-80.8222,85.32,52,57,14.38,PE,1616358077
Bambanglipuro,-7.95,110.2833,77.43,86,95,3.94,ID,1616358411
Severnyy,50.677,36.5532,32.0,74,75,6.71,RU,1616358411
Franca,-20.5386,-47.4008,75.24,76,1,3.96,BR,1616358344
Mandalgovi,45.7625,106.2708,26.33,32,0,13.31,MN,1616358109
Kwang Binh,17.4833,106.6,67.71,93,100,18.57,VN,1616358412
Puerto Limón,10.0,-83.0333,80.6,74,75,12.66,CR,1616358412
Vao,-22.6667,167.4833,75.25,74,70,18.3,NC,1616357947
Plastun,44.7561,136.2939,29.43,91,100,4.56,RU,1616358413
Mariehamn,60.0973,19.9348,33.8,64,0,10.36,AX,1616358413
Chapais,49.7834,-74.8492,53.6,22,1,17.27,CA,1616358041
Tuatapere,-46.1333,167.6833,54.0,95,99,3.0,NZ,1616358414
Chokurdakh,70.6333,147.9167,-11.56,80,83,5.39,RU,1616357986
Port Blair,11.6667,92.75,78.78,72,0,4.25,IN,1616358415
Atkarsk,51.8718,45.0078,19.74,94,77,5.17,RU,1616358415
Lavrentiya,65.5833,-171.0,1.67,80,100,3.02,RU,1616358063
Nyurba,63.2842,118.3319,-25.17,96,77,5.84,RU,1616358416
Belmonte,-15.8631,-38.8828,82.4,74,75,3.44,BR,1616358416
Beringovskiy,63.05,179.3167,-2.47,87,92,7.0,RU,1616357954
Mayen,50.3333,7.2167,41.0,75,91,8.05,DE,1616358417
Ukiah,39.1502,-123.2078,60.8,39,1,3.44,US,1616358147
Kuching,1.55,110.3333,75.2,100,40,2.17,MY,1616358418
Ponta Delgada,37.7333,-25.6667,57.2,82,75,6.91,PT,1616358418
Westport,41.1415,-73.3579,59.0,28,1,5.75,US,1616358418
Zhezkazgan,47.8043,67.7144,30.83,96,100,7.92,KZ,1616358419
Te Anau,-45.4167,167.7167,48.45,93,100,0.56,NZ,1616357948
Bathsheba,13.2167,-59.5167,82.4,54,40,18.41,BB,1616357947
Bubaque,11.2833,-15.8333,76.8,72,0,18.68,GW,1616358073
Itzehoe,53.921,9.5153,39.0,65,100,5.01,DE,1616358420
Yagodnoye,62.55,149.6667,-9.02,80,34,3.09,RU,1616358420
Kutum,14.2,24.6667,75.47,16,100,7.83,SD,1616358087
Olafsvik,64.8945,-23.7142,43.12,91,100,33.2,IS,1616358421
Dongli,23.5656,116.8194,57.2,77,90,8.95,CN,1616358421
Gusinoye Ozero,51.1144,106.2614,26.29,78,100,1.32,RU,1616358422
Rāwatbhāta,24.9333,75.5833,78.1,15,0,5.28,IN,1616358422
Weiz,47.2167,15.6167,34.0,81,85,4.43,AT,1616358423
Port-Gentil,-0.7193,8.7815,78.8,94,75,10.36,GA,1616358083
Pontes e Lacerda,-15.2261,-59.3353,81.34,89,100,3.31,BR,1616358423
Baraguá,21.6967,-78.6328,87.08,46,80,5.08,CU,1616358423
Kulhudhuffushi,6.6221,73.07,82.89,70,27,2.48,MV,1616358424
Lubango,-14.9172,13.4925,60.22,96,99,2.57,AO,1616358425
Manacapuru,-3.2997,-60.6206,80.6,78,75,5.75,BR,1616358425
Qian’an,44.9932,124.0581,27.75,64,0,7.34,CN,1616358425
Bartlesville,36.7473,-95.9808,66.99,42,1,19.57,US,1616358426
Rawson,-43.3002,-65.1023,76.12,29,0,19.89,AR,1616358116
São João da Barra,-21.6403,-41.0511,82.4,65,20,16.11,BR,1616358071
Kruisfontein,-34.0033,24.7314,57.99,85,44,1.01,ZA,1616358094
Carnarvon,-24.8667,113.6333,77.0,88,0,12.66,AU,1616357994
Lindi,-10.0,39.7167,77.0,94,20,8.05,TZ,1616358427
Lianran,24.9227,102.485,43.0,87,90,15.66,CN,1616358427
Lábrea,-7.2586,-64.7981,88.43,55,28,1.66,BR,1616358428
Kozulka,50.0351,23.797,33.8,69,0,4.47,UA,1616358428
Stornoway,58.2093,-6.3865,46.99,81,90,12.66,GB,1616358428
Norman Wells,65.282,-126.8329,-4.0,65,20,4.61,CA,1616357994
Poshekhon'ye,58.4993,39.1353,28.31,96,100,12.73,RU,1616358429
Turaif,31.6725,38.6637,69.8,26,0,9.22,SA,1616358429
Sioux Lookout,50.1001,-91.917,53.6,47,75,12.66,CA,1616358142
Saint-Augustin,51.226,-58.6502,33.26,97,100,13.0,CA,1616358430
Saint-Joseph,-21.3667,55.6167,77.0,88,75,3.44,RE,1616358431
Elk Plain,47.0532,-122.3976,45.0,81,90,4.61,US,1616358431
Lompoc,34.6391,-120.4579,62.6,45,1,17.27,US,1616358411
Paamiut,61.994,-49.6678,22.26,91,97,14.05,GL,1616358432
Kapoeta,4.7717,33.5903,86.4,34,17,12.33,SS,1616358432
Coquimbo,-29.9533,-71.3436,66.2,72,0,11.5,CL,1616358432
Ternate,0.8,127.4,80.67,82,84,4.83,ID,1616358433
Nelson Bay,-32.7167,152.15,66.99,100,90,8.05,AU,1616358433
Atambua,-9.1061,124.8925,74.08,88,56,0.83,ID,1616358434
Kologriv,58.8275,44.3178,25.36,95,100,10.36,RU,1616358434
Yerbogachën,61.2767,108.0108,-17.86,93,100,6.98,RU,1616358434
Plouzané,48.3833,-4.6167,48.2,81,90,5.75,FR,1616358435
Cayenne,4.9333,-52.3333,79.0,89,75,5.75,GF,1616358435
Verkhnyaya Inta,65.9811,60.3094,9.77,89,91,6.35,RU,1616358436
Conde,-7.2597,-34.9075,82.4,74,20,11.5,BR,1616358188
Thinadhoo,0.5333,72.9333,83.05,73,97,8.57,MV,1616358436
Alice Springs,-23.7,133.8833,66.2,100,75,6.91,AU,1616358437
Adrar,20.5022,-10.0711,73.29,16,0,8.3,MR,1616358437
Kungurtug,50.5994,97.5228,18.55,66,100,1.68,RU,1616358437
Lata,40.1629,-8.3327,53.01,73,0,8.99,PT,1616358438
Laas,46.6166,10.7002,51.8,74,0,9.22,IT,1616358438
Ussel,45.55,2.3167,42.01,36,98,3.0,FR,1616358439
Kostomuksha,64.571,30.5767,25.81,93,100,13.73,RU,1616358439
Wajima,37.4,136.9,47.14,61,96,18.25,JP,1616358439
Kirando,-7.4167,30.6,74.35,76,1,6.33,TZ,1616358440
Tūkrah,32.5341,20.5791,60.66,89,7,7.72,LY,1616358440
Medvezh'yegorsk,62.9167,34.4667,26.78,96,91,5.55,RU,1616358200
Makkah al Mukarramah,21.4267,39.8261,78.04,59,0,1.52,SA,1616358368
Tateyama,34.9833,139.8667,57.99,60,99,5.99,JP,1616358441
Lagoa,39.05,-27.9833,58.75,77,100,12.39,PT,1616358441
Bolitoc,15.7395,119.8769,78.57,81,76,4.59,PH,1616358442
Phonhong,18.5007,102.4166,72.37,91,2,1.14,LA,1616358442
Gmina Świecie,53.4095,18.4474,35.01,69,0,1.01,PL,1616358442
Anadyr,64.75,177.4833,-9.0,70,75,8.95,RU,1616358443
Pingzhuang,42.0372,119.2889,31.68,37,0,6.29,CN,1616358443
